Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,4.03515664332277E-06,0.00156731385501752,0.0194386010664612,0,0,0,0.341700717762722,0.000988663190405644,-1.04160274271504E-08,-1.46302809934933E-09,0.000983473535631327,-2.20301206814554E-07,0.00175721561725007,0,0,0,0,0,0,package://ahman_robot_description/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://ahman_robot_description/meshes/base_link.STL,,BasePlate+Link+Frame-1/base support-2;BasePlate+Link+Frame-1/AX-12A.stp-2/ASM0002_ASM.stp-1/PRT0001.stp-1,base_coordinate,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
shoulder_lnik,0.000101238677035154,-0.000114305022123146,0.0495521735599035,0,0,0,0.230749674146513,0.000462188953983829,-1.46726651813318E-09,-1.04430975449333E-08,0.000456255559294962,-1.90943812456882E-07,0.000797285270507836,0,0,0,0,0,0,package://ahman_robot_description/meshes/shoulder_lnik.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://ahman_robot_description/meshes/shoulder_lnik.STL,,BasePlate+Link+Frame-1/BaseRotatingPlate-1;BasePlate+Link+Frame-1/BaseLink-5;BasePlate+Link+Frame-1/BaseLink-6;BasePlate+Link+Frame-1/AX-12A.stp-2/ASM0002_ASM.stp-1/PRT0006.stp-1;BasePlate+Link+Frame-1/FP04-F2.stp-2;BasePlate+Link+Frame-1/AX-12A.stp-1/ASM0002_ASM.stp-1/PRT0001.stp-1;BasePlate+Link+Frame-1/FP04-F3.stp-1,Coordinate System1,Axis1,shoulder_joint,revolute,0,0,0.045,0,0,0,base_link,0,0,-1,0,0,0,0,,,,,,,,
elbow_link,6.68706254368101E-05,0.0205389315072919,0.132700787352869,0,0,0,0.096262640443939,7.6702370653249E-05,-1.45413248580412E-09,-9.030856196559E-08,7.24501645017268E-05,-1.90966118088874E-07,1.90081952297504E-05,0,0,0,0,0,0,package://ahman_robot_description/meshes/elbow_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://ahman_robot_description/meshes/elbow_link.STL,,Link 1 and 2 Asmbly-1/Link 1-1;FP04-F4.stp-1;BasePlate+Link+Frame-1/AX-12A.stp-1/ASM0002_ASM.stp-1/PRT0006.stp-1;Link 1 and 2 Asmbly-1/FP04-F3.stp-1;Link 1 and 2 Asmbly-1/AX-12A.stp-1/ASM0002_ASM.stp-1/PRT0001.stp-1,Coordinate System2,Axis2,elbow_joint,revolute,0.00034037,-0.021063,0.2115,0,0,0,shoulder_lnik,0,1,0,0,0,0,0,,,,,,,,
wrist_link,0.000241253995371227,0.0205903281834586,0.0675596012185864,0,0,0,0.0582938416196411,1.93982453388511E-05,1.47192371761609E-09,2.70708158228733E-07,1.72343098370362E-05,-1.05212597232834E-08,1.29425910830237E-05,0,0,0,0,0,0,package://ahman_robot_description/meshes/wrist_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://ahman_robot_description/meshes/wrist_link.STL,,Link 1 and 2 Asmbly-1/AX-12A.stp-1/ASM0002_ASM.stp-1/PRT0006.stp-1;FP04-F4.stp-2;Full_Assembly-1/FP04-F3.stp-1;Full_Assembly-1/AX-12A.stp-3/ASM0002_ASM.stp-1/PRT0001.stp-1,Coordinate System3,Axis3,wrist_joint,revolute,0,0,0.2032,0,0,0,elbow_link,0,1,0,0,0,0,0,,,,,,,,
knuckle_link,0.0235984795025687,0.000742750048917579,0.0180124642206413,0,0,0,0.070331938721002,2.52473213768789E-05,6.19115593070956E-08,7.62601432924068E-07,1.93683930570014E-05,1.8098195926761E-07,2.54377352659079E-05,0,0,0,0,0,0,package://ahman_robot_description/meshes/knuckle_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://ahman_robot_description/meshes/knuckle_link.STL,,Full_Assembly-1/AX-12A.stp-3/ASM0002_ASM.stp-1/PRT0006.stp-1;Full_Assembly-1/base_my-1;Full_Assembly-1/AX-12A.stp-2/ASM0002_ASM.stp-1/PRT0001.stp-1,Coordinate System4,Axis4,knuckle_joint,revolute,0.021,0.021,0.0952,0,0,0,wrist_link,-1,0,0,0,0,0,0,,,,,,,,
left_gear_link,0.00173202665550959,0.0010401447452989,-0.0157285877417442,0,0,0,0.00440214385375005,3.54958340979828E-07,-1.03539021241121E-07,1.45367547115379E-08,4.31532581873505E-07,1.04315709445713E-08,5.16608277909124E-07,0,0,0,0,0,0,package://ahman_robot_description/meshes/left_gear_link.STL,1,1,1,1,0,0,0,0,0,0,package://ahman_robot_description/meshes/left_gear_link.STL,,Full_Assembly-1/gear 2.1-2;Full_Assembly-1/gear_motor_connector-1,Coordinate System5,Axis5,left_gear_joint,revolute,0.025,0.015,0.0125,0,0,0,knuckle_link,0,0,1,0,0,0,0,,,,,,,,
left_finger_tip_link,0.0441131161508655,-0.0111946654022016,9.65549627929274E-06,0,0,0,0.00995624544719296,5.59096232163477E-07,4.76644387717978E-07,2.9656093283699E-09,2.68387876530051E-06,-6.68087296275808E-10,2.53748010084301E-06,0,0,0,0,0,0,package://ahman_robot_description/meshes/left_finger_tip_link.STL,0.698039215686274,0,0,1,0,0,0,0,0,0,package://ahman_robot_description/meshes/left_finger_tip_link.STL,,Full_Assembly-1/gripper-1,Coordinate System8,Axis10,left_finger_tip_joint,continuous,0.027469,0.019609,-0.0235,0,0,0,left_gear_link,0,0,-1,,,,,,,,,,,,
right_gear_link,0.00317775901945931,-0.00195624294520627,0,0,0,0,0.00239089226491989,1.8389181007704E-07,1.00121330617587E-07,-1.13021825928484E-22,2.58723464874534E-07,1.29346077240487E-23,4.39028936554194E-07,0,0,0,0,0,0,package://ahman_robot_description/meshes/right_gear_link.STL,1,1,1,1,0,0,0,0,0,0,package://ahman_robot_description/meshes/right_gear_link.STL,,Full_Assembly-1/gear-1,Coordinate System6,Axis6,right_gear_joint,continuous,0.025,-0.015,-0.011,0,0,0,knuckle_link,0,0,-1,,,,,,,,,,,,
right_finger_tip_link,0.0441131161508605,0.0111946654022214,-0.000509655496279127,0,0,0,0.00995624544719294,5.59096232163903E-07,-4.76644387718929E-07,-2.96560932836692E-09,2.68387876530007E-06,-6.68087296276518E-10,2.537480100843E-06,0,0,0,0,0,0,package://ahman_robot_description/meshes/right_finger_tip_link.STL,0.698039215686274,0,0,1,0,0,0,0,0,0,package://ahman_robot_description/meshes/right_finger_tip_link.STL,,Full_Assembly-1/gripper-2,Coordinate System7,Axis7,right_finger_tip_joint,continuous,0.027469,-0.019609,0,0,0,0,right_gear_link,0,0,1,,,,,,,,,,,,
left_finger_link,0.0137344597130272,0.0098046030715799,1.11022302462516E-16,0,0,0,0.000682275993524468,2.72087572377812E-08,-3.38891767074032E-08,-5.54949239037448E-23,5.04888816707687E-08,-4.168685264938E-23,7.66742249182632E-08,0,0,0,0,0,0,package://ahman_robot_description/meshes/left_finger_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://ahman_robot_description/meshes/left_finger_link.STL,,Full_Assembly-1/connector-1,Coordinate System10,Axis9,left_finger_joint,continuous,0.048,0.0075,-0.011,0,0,0,knuckle_link,0,0,1,,,,,,,,,,,,
